Value,Land Cover Type,Manning N,,,,,,
0,Unknown,0,,,,,,
20,Shrubs,0.1,,,,,,
30,Herbaceous Vegetation,0.05,,,,,,
40,Cultivated Vegetation,0.06,,,,,,
50,Urban,0,,,,,,
60,Bare,0.03,,,,,,
70,Snow/Ice,0.03,,,,,,
80,Water Bodies,0.03,,,,,,
90,Herbaceous Wetlands,0.07,,,,,,
100,Moss and Lichen,0,,,,,,
111,Closed Forest - Evergreen Needle,0.16,,,,,,
112,Closed Forest - Evergreen Broad Leef,0.16,,,,,,
113,Closed Forest - Deciduous Needle,0.16,,,,,,
114,Closed Forest - Deciduous Broad Leef,0.16,,,,,,
115,Closed Forest - Mixed,0.16,,,,,,
116,Closed Forest - Other,0.16,,,,,,
121,Open Forest - Evergreen Needle,0.16,,,,,,
122,Open Forest - Evergreen Broad Leaf,0.16,,,,,,
123,Open Forest - Deciduous  Needle,0.16,,,,,,
124,Open Forest - Deciduous Broad Leaf,0.16,,,,,,
125,Open Forest - Mixed,0.16,,,,,,
126,Open Forest - Other,0.16,,,,,,
200,Ocean/Seas,0.03,,,,,,
