sand,clay,conductivity
0,100,18.49
0,98,18.23
0,96,17.97
0,94,17.88
0,92,17.8
0,90,17.71
0,88,17.71
0,86,17.63
0,84,17.54
0,82,17.37
0,80,17.11
0,78,16.85
0,76,16.85
0,74,17.11
0,72,18.14
0,70,20.22
0,68,23.24
0,66,26.35
0,64,28.08
0,62,27.73
0,60,25.57
0,58,22.55
0,56,19.87
0,54,17.71
0,52,15.98
0,50,14.6
0,48,13.48
0,46,12.53
0,44,11.75
0,42,10.97
0,40,10.37
0,38,9.76
0,36,9.16
0,34,8.81
0,32,8.46
0,30,8.21
0,28,8.03
0,26,7.97
0,24,8.1
0,22,8.48
0,20,9.07
0,18,10.02
0,16,11.23
0,14,12.79
0,12,14.77
0,10,17.11
0,8,19.96
0,6,23.41
0,4,27.48
0,2,32.31
0,0,38.02
2,98,18.4
2,96,18.23
2,94,18.06
2,92,17.88
2,90,17.8
2,88,17.8
2,86,17.8
2,84,17.8
2,82,17.8
2,80,17.71
2,78,17.54
2,76,17.45
2,74,17.63
2,72,18.14
2,70,19.44
2,68,21.95
2,66,25.32
2,64,28.51
2,62,29.55
2,60,27.99
2,58,24.88
2,56,21.77
2,54,19.27
2,52,17.37
2,50,15.81
2,48,14.52
2,46,13.56
2,44,12.7
2,42,12.01
2,40,11.4
2,38,10.8
2,36,10.28
2,34,9.85
2,32,9.59
2,30,9.42
2,28,9.24
2,26,9.33
2,24,9.59
2,22,10.11
2,20,11.06
2,18,12.36
2,16,14.08
2,14,16.16
2,12,18.75
2,10,21.77
2,8,25.4
2,6,29.64
2,4,34.73
2,2,40.78
2,0,48.04
4,96,18.32
4,94,18.14
4,92,17.97
4,90,17.8
4,88,17.71
4,86,17.71
4,84,17.71
4,82,17.71
4,80,17.8
4,78,17.8
4,76,17.88
4,74,17.88
4,72,18.23
4,70,19.09
4,68,20.74
4,66,23.41
4,64,26.87
4,62,29.72
4,60,29.81
4,58,27.13
4,56,23.59
4,54,20.65
4,52,18.49
4,50,16.76
4,48,15.47
4,46,14.34
4,44,13.48
4,42,12.79
4,40,12.18
4,38,11.58
4,36,11.06
4,34,10.71
4,32,10.37
4,30,10.28
4,28,10.2
4,26,10.2
4,24,10.54
4,22,11.15
4,20,12.18
4,18,13.74
4,16,15.72
4,14,18.32
4,12,21.51
4,10,25.32
4,8,29.89
4,6,35.34
4,4,41.82
4,2,49.68
4,0,59.27
6,94,18.06
6,92,17.97
6,90,17.8
6,88,17.71
6,86,17.54
6,84,17.54
6,82,17.54
6,80,17.63
6,78,17.71
6,76,17.88
6,74,17.97
6,72,18.32
6,70,18.84
6,68,20.04
6,66,21.95
6,64,24.62
6,62,27.73
6,60,29.72
6,58,28.77
6,56,25.4
6,54,21.95
6,52,19.44
6,50,17.54
6,48,16.07
6,46,14.95
6,44,14
6,42,13.31
6,40,12.7
6,38,12.18
6,36,11.75
6,34,11.32
6,32,11.06
6,30,10.89
6,28,10.89
6,26,10.97
6,24,11.23
6,22,11.92
6,20,13.05
6,18,14.77
6,16,16.93
6,14,19.79
6,12,23.33
6,10,27.65
6,8,32.75
6,6,38.88
6,4,46.14
6,2,55.12
6,0,66.18
8,92,17.71
8,90,17.71
8,88,17.63
8,86,17.45
8,84,17.37
8,82,17.28
8,80,17.28
8,78,17.37
8,76,17.54
8,74,17.71
8,72,18.06
8,70,18.58
8,68,19.35
8,66,20.82
8,64,22.9
8,62,25.32
8,60,27.65
8,58,28.51
8,56,26.61
8,54,23.16
8,52,20.22
8,50,18.14
8,48,16.59
8,46,15.29
8,44,14.34
8,42,13.65
8,40,13.13
8,38,12.61
8,36,12.18
8,34,11.84
8,32,11.49
8,30,11.4
8,28,11.4
8,26,11.49
8,24,11.84
8,22,12.53
8,20,13.74
8,18,15.47
8,16,17.88
8,14,20.91
8,12,24.71
8,10,29.46
8,8,34.99
8,6,41.73
8,4,49.77
8,2,59.53
8,0,71.45
10,90,17.28
10,88,17.28
10,86,17.19
10,84,17.11
10,82,17.02
10,80,16.93
10,78,16.93
10,76,17.02
10,74,17.28
10,72,17.54
10,70,18.06
10,68,18.75
10,66,19.87
10,64,21.43
10,62,23.41
10,60,25.23
10,58,26.44
10,56,26.09
10,54,23.85
10,52,20.91
10,50,18.58
10,48,16.85
10,46,15.55
10,44,14.52
10,42,13.82
10,40,13.31
10,38,12.87
10,36,12.53
10,34,12.1
10,32,11.84
10,30,11.75
10,28,11.75
10,26,11.92
10,24,12.27
10,22,12.96
10,20,14.17
10,18,15.98
10,16,18.49
10,14,21.69
10,12,25.75
10,10,30.76
10,8,36.89
10,6,44.24
10,4,52.96
10,2,63.59
10,0,76.38
12,88,16.76
12,86,16.76
12,84,16.76
12,82,16.76
12,80,16.68
12,78,16.59
12,76,16.59
12,74,16.68
12,72,16.93
12,70,17.37
12,68,17.97
12,66,18.92
12,64,20.22
12,62,21.86
12,60,23.41
12,58,24.45
12,56,24.28
12,54,22.98
12,52,20.91
12,50,18.84
12,48,17.11
12,46,15.72
12,44,14.6
12,42,13.91
12,40,13.39
12,38,12.96
12,36,12.61
12,34,12.36
12,32,12.1
12,30,12.01
12,28,12.01
12,26,12.18
12,24,12.53
12,22,13.22
12,20,14.52
12,18,16.33
12,16,18.84
12,14,22.2
12,12,26.52
12,10,31.88
12,8,38.45
12,6,46.4
12,4,55.9
12,2,67.39
12,0,81.22
14,86,16.16
14,84,16.16
14,82,16.16
14,80,16.24
14,78,16.16
14,76,16.16
14,74,16.16
14,72,16.33
14,70,16.68
14,68,17.19
14,66,17.97
14,64,19.01
14,62,20.39
14,60,21.86
14,58,22.81
14,56,22.72
14,54,21.43
14,52,19.79
14,50,18.32
14,48,16.93
14,46,15.72
14,44,14.6
14,42,13.82
14,40,13.31
14,38,12.96
14,36,12.7
14,34,12.44
14,32,12.18
14,30,12.1
14,28,12.18
14,26,12.36
14,24,12.7
14,22,13.39
14,20,14.6
14,18,16.5
14,16,19.09
14,14,22.55
14,12,27.04
14,10,32.83
14,8,39.83
14,6,48.47
14,4,58.75
14,2,71.19
14,0,86.14
16,84,15.38
16,82,15.47
16,80,15.55
16,78,15.64
16,76,15.64
16,74,15.72
16,72,15.81
16,70,15.98
16,68,16.42
16,66,17.02
16,64,17.88
16,62,19.09
16,60,20.39
16,58,21.43
16,56,21.51
16,54,20.39
16,52,18.4
16,50,16.76
16,48,15.98
16,46,15.29
16,44,14.43
16,42,13.65
16,40,13.13
16,38,12.79
16,36,12.61
16,34,12.44
16,32,12.27
16,30,12.18
16,28,12.27
16,26,12.44
16,24,12.87
16,22,13.56
16,20,14.77
16,18,16.59
16,16,19.27
16,14,22.81
16,12,27.56
16,10,33.61
16,8,41.21
16,6,50.37
16,4,61.52
16,2,75
16,0,90.72
18,82,14.52
18,80,14.69
18,78,14.77
18,76,14.95
18,74,15.03
18,72,15.21
18,70,15.38
18,68,15.72
18,66,16.16
18,64,16.85
18,62,17.88
18,60,19.09
18,58,20.13
18,56,20.48
18,54,19.7
18,52,17.63
18,50,15.47
18,48,14.26
18,46,14.08
18,44,13.82
18,42,13.39
18,40,12.96
18,38,12.61
18,36,12.53
18,34,12.36
18,32,12.27
18,30,12.27
18,28,12.36
18,26,12.53
18,24,12.96
18,22,13.65
18,20,14.86
18,18,16.76
18,16,19.44
18,14,23.16
18,12,28.17
18,10,34.47
18,8,42.51
18,6,52.36
18,4,64.37
18,2,78.8
18,0,95.9
20,80,13.65
20,78,13.74
20,76,13.91
20,74,14.08
20,72,14.34
20,70,14.6
20,68,14.95
20,66,15.38
20,64,15.9
20,62,16.68
20,60,17.71
20,58,18.84
20,56,19.44
20,54,19.01
20,52,17.37
20,50,14.95
20,48,13.05
20,46,12.27
20,44,12.44
20,42,12.61
20,40,12.53
20,38,12.36
20,36,12.27
20,34,12.27
20,32,12.27
20,30,12.27
20,28,12.44
20,26,12.61
20,24,13.05
20,22,13.82
20,20,15.03
20,18,16.93
20,16,19.7
20,14,23.59
20,12,28.68
20,10,35.34
20,8,43.8
20,6,54.35
20,4,67.13
20,2,82.51
20,0,101.09
22,78,12.7
22,76,12.87
22,74,13.05
22,72,13.31
22,70,13.56
22,68,13.91
22,66,14.43
22,64,14.95
22,62,15.64
22,60,16.5
22,58,17.45
22,56,18.23
22,54,18.32
22,52,17.11
22,50,14.86
22,48,12.61
22,46,11.15
22,44,10.71
22,42,11.06
22,40,11.66
22,38,11.92
22,36,12.01
22,34,12.18
22,32,12.27
22,30,12.36
22,28,12.53
22,26,12.79
22,24,13.22
22,22,14
22,20,15.29
22,18,17.19
22,16,20.04
22,14,24.02
22,12,29.29
22,10,36.29
22,8,45.1
22,6,56.16
22,4,69.81
22,2,86.23
22,0,106.27
24,76,11.84
24,74,12.01
24,72,12.18
24,70,12.44
24,68,12.79
24,66,13.22
24,64,13.74
24,62,14.43
24,60,15.21
24,58,16.16
24,56,16.93
24,54,17.28
24,52,16.68
24,50,14.86
24,48,12.53
24,46,10.71
24,44,9.76
24,42,9.5
24,40,10.02
24,38,10.89
24,36,11.49
24,34,11.84
24,32,12.1
24,30,12.36
24,28,12.53
24,26,12.87
24,24,13.48
24,22,14.26
24,20,15.55
24,18,17.54
24,16,20.39
24,14,24.45
24,12,29.98
24,10,37.15
24,8,46.4
24,6,58.06
24,4,72.4
24,2,89.86
24,0,110.59
26,74,11.23
26,72,11.23
26,70,11.4
26,68,11.66
26,66,12.01
26,64,12.44
26,62,13.05
26,60,13.82
26,58,14.69
26,56,15.55
26,54,16.07
26,52,15.9
26,50,14.6
26,48,12.53
26,46,10.54
26,44,9.24
26,42,8.64
26,40,8.61
26,38,9.16
26,36,10.2
26,34,11.15
26,32,11.75
26,30,12.18
26,28,12.53
26,26,12.96
26,24,13.56
26,22,14.52
26,20,15.81
26,18,17.8
26,16,20.74
26,14,24.97
26,12,30.59
26,10,38.02
26,8,47.69
26,6,59.96
26,4,75.17
26,2,93.31
26,0,115.78
28,72,10.8
28,70,10.89
28,68,10.97
28,66,11.15
28,64,11.4
28,62,11.84
28,60,12.44
28,58,13.22
28,56,14
28,54,14.69
28,52,14.77
28,50,14
28,48,12.36
28,46,10.37
