sand,clay,drainage
0,100,0.812242
0,98,0.811211
0,96,0.815595
0,94,0.828593
0,92,0.84749
0,90,0.870024
0,88,0.89837
0,86,0.928162
0,84,0.959272
0,82,0.990598
0,80,1.022183
0,78,1.053818
0,76,1.093227
0,74,1.141626
0,72,1.207909
0,70,1.302027
0,68,1.414696
0,66,1.529709
0,64,1.621167
0,62,1.675582
0,60,1.69344
0,58,1.686828
0,56,1.676425
0,54,1.673526
0,52,1.676253
0,50,1.685652
0,48,1.695206
0,46,1.706104
0,44,1.713143
0,42,1.708901
0,40,1.70077
0,38,1.680937
0,36,1.656375
0,34,1.63737
0,32,1.620458
0,30,1.605943
0,28,1.602892
0,26,1.607701
0,24,1.632829
0,22,1.685635
0,20,1.756223
0,18,1.86298
0,16,2.004316
0,14,2.162972
0,12,2.363608
0,10,2.593377
0,8,2.86513
0,6,3.170767
0,4,3.526033
0,2,3.924151
0,0,4.351867
2,98,0.795782
2,96,0.797052
2,94,0.804696
2,92,0.820457
2,90,0.841496
2,88,0.869011
2,86,0.899257
2,84,0.932434
2,82,0.967581
2,80,1.002089
2,78,1.037051
2,76,1.075606
2,74,1.120182
2,72,1.175422
2,70,1.250044
2,68,1.3531
2,66,1.472959
2,64,1.590813
2,62,1.67107
2,60,1.705232
2,58,1.706272
2,56,1.694442
2,54,1.690593
2,52,1.693324
2,50,1.702984
2,48,1.712898
2,46,1.731443
2,44,1.741757
2,42,1.747463
2,40,1.745913
2,38,1.733921
2,36,1.721242
2,34,1.701953
2,32,1.690987
2,30,1.6854
2,28,1.680243
2,26,1.697933
2,24,1.733288
2,22,1.786966
2,20,1.885314
2,18,2.006279
2,16,2.152082
2,14,2.333858
2,12,2.541521
2,10,2.785606
2,8,3.064812
2,6,3.38239
2,4,3.74963
2,2,4.15414
2,0,4.595455
4,96,0.77882
4,94,0.783054
4,92,0.79427
4,90,0.811641
4,88,0.836085
4,86,0.866314
4,84,0.898575
4,82,0.932973
4,80,0.970665
4,78,1.009603
4,76,1.050325
4,74,1.092669
4,72,1.143847
4,70,1.209224
4,68,1.293169
4,66,1.399729
4,64,1.520824
4,62,1.63309
4,60,1.700537
4,58,1.716162
4,56,1.704825
4,54,1.695856
4,52,1.697223
4,50,1.707316
4,48,1.723311
4,46,1.737731
4,44,1.75574
4,42,1.767538
4,40,1.773214
4,38,1.767427
4,36,1.756142
4,34,1.745653
4,32,1.733072
4,30,1.735824
4,28,1.734061
4,26,1.746798
4,24,1.780456
4,22,1.845831
4,20,1.93782
4,18,2.060263
4,16,2.22128
4,14,2.412191
4,12,2.635711
4,10,2.9009
4,8,3.191211
4,6,3.525685
4,4,3.909366
4,2,4.339029
4,0,4.812819
6,94,0.760176
6,92,0.768446
6,90,0.782467
6,88,0.804685
6,86,0.830561
6,84,0.862448
6,82,0.896529
6,80,0.934811
6,78,0.974269
6,76,1.017391
6,74,1.061221
6,72,1.111374
6,70,1.168832
6,68,1.243174
6,66,1.333171
6,64,1.440234
6,62,1.557737
6,60,1.658197
6,58,1.708758
6,56,1.709262
6,54,1.694773
6,52,1.693309
6,50,1.700872
6,48,1.715238
6,46,1.735461
6,44,1.75142
6,42,1.772929
6,40,1.784436
6,38,1.785243
6,36,1.784093
6,34,1.772977
6,32,1.768871
6,30,1.763412
6,28,1.769333
6,26,1.781561
6,24,1.809893
6,22,1.87104
6,20,1.966515
6,18,2.093547
6,16,2.258573
6,14,2.453641
6,12,2.683364
6,10,2.949227
6,8,3.247343
6,6,3.581679
6,4,3.968782
6,2,4.409043
6,0,4.886527
8,92,0.741858
8,90,0.75464
8,88,0.773698
8,86,0.796696
8,84,0.826509
8,82,0.859542
8,80,0.894916
8,78,0.934932
8,76,0.97729
8,74,1.021265
8,72,1.071905
8,70,1.128776
8,68,1.191611
8,66,1.27422
8,64,1.369221
8,62,1.474004
8,60,1.580772
8,58,1.663896
8,56,1.694491
8,54,1.687082
8,52,1.681603
8,50,1.686755
8,48,1.700216
8,46,1.717929
8,44,1.741417
8,42,1.764738
8,40,1.782309
8,38,1.793039
8,36,1.797095
8,34,1.790072
8,32,1.784479
8,30,1.786659
8,28,1.787339
8,26,1.801846
8,24,1.836225
8,22,1.889389
8,20,1.987817
8,18,2.111572
8,16,2.275431
8,14,2.472261
8,12,2.695087
8,10,2.969039
8,8,3.272414
8,6,3.61519
8,4,4.003096
8,2,4.444146
8,0,4.925377
10,90,0.723595
10,88,0.740452
10,86,0.762188
10,84,0.789533
10,82,0.82107
10,80,0.854617
10,78,0.892284
10,76,0.933479
10,74,0.978427
10,72,1.02671
10,70,1.082417
10,68,1.143998
10,66,1.21688
10,64,1.302678
10,62,1.399241
10,60,1.494591
10,58,1.583074
10,56,1.643308
10,54,1.664551
10,52,1.662298
10,50,1.664968
10,48,1.677364
10,46,1.696304
10,44,1.717651
10,42,1.744903
10,40,1.771619
10,38,1.787285
10,36,1.801146
10,34,1.793739
10,32,1.790926
10,30,1.795782
10,28,1.798545
10,26,1.811964
10,24,1.84758
10,22,1.900556
10,20,1.988813
10,18,2.114782
10,16,2.280754
10,14,2.470884
10,12,2.71081
10,10,2.976679
10,8,3.280357
10,6,3.63212
10,4,4.016488
10,2,4.456885
10,0,4.939437
12,88,0.706092
12,86,0.725631
12,84,0.752116
12,82,0.783143
12,80,0.81583
12,78,0.851748
12,76,0.89002
12,74,0.932151
12,72,0.980488
12,70,1.033149
12,68,1.092291
12,66,1.161382
12,64,1.23955
12,62,1.328803
12,60,1.419202
12,58,1.503298
12,56,1.565763
12,54,1.605367
12,52,1.623545
12,50,1.637002
12,48,1.650261
12,46,1.669996
12,44,1.688994
12,42,1.720535
12,40,1.751092
12,38,1.772545
12,36,1.786456
12,34,1.793598
12,32,1.794196
12,30,1.795972
12,28,1.800484
12,26,1.815529
12,24,1.844393
12,22,1.897958
12,20,1.990478
12,18,2.116263
12,16,2.27001
12,14,2.465205
12,12,2.699148
12,10,2.971206
12,8,3.281158
12,6,3.630098
12,4,4.025432
12,2,4.477169
12,0,4.959233
14,86,0.689577
14,84,0.712225
14,82,0.741441
14,80,0.774775
14,78,0.809602
14,76,0.848274
14,74,0.887564
14,72,0.932899
14,70,0.983337
14,68,1.039591
14,66,1.10384
14,64,1.177468
14,62,1.261236
14,60,1.349748
14,58,1.430406
14,56,1.492783
14,54,1.531277
14,52,1.557446
14,50,1.582782
14,48,1.608156
14,46,1.634085
14,44,1.656665
14,42,1.687428
14,40,1.719032
14,38,1.749183
14,36,1.77274
14,34,1.784262
14,32,1.783612
14,30,1.789068
14,28,1.800582
14,26,1.818766
14,24,1.840375
14,22,1.894809
14,20,1.973292
14,18,2.093062
14,16,2.262072
14,14,2.459146
14,12,2.684375
14,10,2.966566
14,8,3.28404
14,6,3.62894
14,4,4.034264
14,2,4.472414
14,0,4.969191
16,84,0.672112
16,82,0.698709
16,80,0.73127
16,78,0.76625
16,76,0.803408
16,74,0.844379
16,72,0.887235
16,70,0.93347
16,68,0.988083
16,66,1.047546
16,64,1.115368
16,62,1.195189
16,60,1.279503
16,58,1.361375
16,56,1.42706
16,54,1.466266
16,52,1.482324
16,50,1.500045
16,48,1.542139
16,46,1.584217
16,44,1.615886
16,42,1.647232
16,40,1.682284
16,38,1.716976
16,36,1.74533
16,34,1.766106
16,32,1.775303
16,30,1.783533
16,28,1.792492
16,26,1.812377
16,24,1.841306
16,22,1.887896
16,20,1.966991
16,18,2.083343
16,16,2.244829
16,14,2.444805
16,12,2.677766
16,10,2.952188
16,8,3.281793
16,6,3.632342
16,4,4.033543
16,2,4.481292
16,0,4.971651
18,82,0.654893
18,80,0.68542
18,78,0.718676
18,76,0.757389
18,74,0.796741
18,72,0.84114
18,70,0.886398
18,68,0.93757
18,66,0.993109
18,64,1.056562
18,62,1.130729
18,60,1.212515
18,58,1.293785
18,56,1.363176
18,54,1.409706
18,52,1.423227
18,50,1.423837
18,48,1.446929
18,46,1.504819
18,44,1.559413
18,42,1.605117
18,40,1.644293
18,38,1.68286
18,36,1.72182
18,34,1.744354
18,32,1.763295
18,30,1.775326
18,28,1.78733
18,26,1.802313
18,24,1.833826
18,22,1.881484
18,20,1.952109
18,18,2.073143
18,16,2.234198
18,14,2.428395
18,12,2.66929
18,10,2.948084
18,8,3.270838
18,6,3.630699
18,4,4.040683
18,2,4.495109
18,0,4.981058
20,80,0.639498
